Exit-location,Aircraft-type,Final-approach,Exit-angle,Temperature,Time,Windspeed,Visibility,ROT
2086.35,Heavy,152,30,25,Day,2,10,56
2086.35,Medium,153,30,25,Day,2,10,54
2086.35,Medium,144,30,25,Day,2,10,55
2086.35,Medium,143,30,25,Day,2,10,56
2086.35,Medium,157,30,25,Day,2,10,50
1750,Medium,155,30,26,Day,3,9,45
2086.35,Medium,149,30,26,Day,3,9,53
2086.35,Medium,152,30,26,Day,0,10,55
2086.35,Light,115,30,26,Day,0,10,67
2086.35,Medium,144,30,26,Day,0,10,54
2086.35,Heavy,148,30,26,Day,0,10,52
2086.35,Medium,147,30,26,Day,0,10,53
2086.35,Heavy,142,30,26,Day,0,10,56
2086.35,Medium,151,30,26,Day,0,10,51
1750,Medium,144,30,26,Day,0,10,47
1750,Medium,150,30,26,Day,0,10,47
2086.35,Medium,149,30,26,Day,0,10,51
1750,Medium,145,30,26,Day,0,10,46
2086.35,Medium,154,30,26,Day,0,10,56
1750,Medium,147,30,26,Day,0,10,46
1750,Medium,143,30,27,Day,3,8,47
2086.35,Medium,140,30,27,Day,3,8,53
1750,Medium,151,30,27,Day,3,8,44
1750,Light,82,30,27,Day,3,8,54
2086.35,Medium,147,30,28,Day,0,10,51
2086.35,Heavy,137,30,28,Day,0,10,60
1750,Light,137,30,30,Day,0,10,54
2086.35,Medium,141,30,30,Day,0,10,53
2086.35,Medium,150,30,30,Day,0,10,49
1750,Medium,139,30,30,Day,0,10,51
1750,Medium,141,30,30,Day,0,10,50
2086.35,Medium,143,30,30,Day,0,10,59
2086.35,Heavy,148,30,30,Day,0,10,57
2086.35,Medium,143,30,30,Day,0,10,53
2086.35,Medium,142,30,30,Day,0,10,56
2086.35,Medium,135,30,30,Day,0,10,49
2086.35,Medium,146,30,29,Day,2,10,55
2086.35,Heavy,157,30,29,Day,2,10,52
2086.35,Medium,132,30,29,Day,2,10,60
2086.35,Medium,159,30,29,Day,2,10,51
1750,Medium,145,30,29,Day,2,10,45
1750,Heavy,142,30,29,Day,2,10,56
2086.35,Medium,138,30,31,Day,-1,10,64
1750,Heavy,147,30,31,Day,-1,10,51
2086.35,Light,149,30,31,Day,-1,10,57
1750,Medium,150,30,31,Day,-1,10,54
2086.35,Medium,142,30,31,Day,-1,10,56
1750,Medium,145,30,31,Day,-1,10,48
2086.35,Medium,143,30,31,Day,-1,10,55
2086.35,Medium,141,30,31,Day,-1,10,58
1750,Medium,140,30,31,Day,-1,10,46
1750,Medium,141,30,31,Day,-1,10,45
2086.35,Heavy,149,30,31,Day,-1,10,57
2086.35,Medium,157,30,31,Day,-1,10,55
1750,Medium,137,30,32,Day,-6,10,47
2086.35,Medium,143,30,32,Day,-6,10,56
1750,Light,95,30,32,Day,-6,10,64
1750,Medium,126,30,32,Day,-6,10,57
1750,Medium,141,30,32,Day,-6,10,51
2086.35,Medium,149,30,32,Day,-6,10,56
2086.35,Heavy,134,30,32,Day,-6,10,57
2086.35,Heavy,138,30,32,Day,-6,10,54
1750,Medium,151,30,31,Day,-8,10,54
2086.35,Medium,143,30,31,Day,-8,10,61
2086.35,Medium,143,30,31,Day,-8,10,54
2086.35,Heavy,144,30,31,Day,-8,10,48
